topic,difficulty,question,option_a,option_b,option_c,option_d,answer
Ratios,Hard,The sum of two numbers is 80 and their ratio is 3:5. Find the numbers.,24 and 56,30 and 50,36 and 44,40 and 40,B
Ratios,Hard,The sum of two numbers is 46 and their ratio is 3:5. Find the numbers.,24 and 56,30 and 50,36 and 44,40 and 40,B
Ratios,Hard,The sum of two numbers is 80 and their ratio is 3:5. Find the numbers.,40 and 40,36 and 44,30 and 50,24 and 56,
Ratios,Hard,"If x:y = 2:3 and y:z = 4:5, find x:y:z.",8:12:15,6:8:10,4:6:8,2:4:5,A
Ratios,Hard,"If x:y = 1:2 and y:z = 4:5, find x:y:z.",8:12:15,6:8:10,4:6:8,2:4:5,A
Ratios,Hard,"If x:y = 2:3 and y:z = 4:5, find x:y:z.",8:12:15,4:6:8,6:8:10,2:4:5,
Number Series,Hard,"What comes next in the series: 1, 3, 6, 10, 15, ...?",21,22,23,24,A
Number Series,Hard,"What comes next in the series: 1, 2, 5, 12, 19, ...?",21,22,23,24,A
Number Series,Hard,"What comes next in the series: 1, 3, 6, 10, 15, ...?",21,24,22,23,
Probability,Medium,"If you pick a card from a deck of cards, what is the probability that it is a face card?",3/13,2/13,4/13,5/13,A
Probability,Medium,"If you pick a card from a deck of cards, what is the probability that it is a face card?",2/13,3/13,5/13,4/13,
Number Series,Hard,"What comes next in the series: 1, 1, 2, 6, 24, 120, ...?",720,125,150,180,A
Number Series,Hard,"What comes next in the series: 1, 1, 1, 5, 18, 107, ...?",720,125,150,180,A
Number Series,Hard,"What comes next in the series: 1, 1, 2, 6, 24, 120, ...?",180,150,720,125,
Percentages,Easy,Find 20% of 200.,30,40,50,60,B
Percentages,Easy,Find 24% of 198.,30,40,50,60,B
Percentages,Easy,Find 20% of 200.,40,50,30,60,
Ratios,Medium,"If 5A = 7B, find A:B.",5:7,7:5,7:10,10:7,B
Ratios,Medium,"If 4A = 8B, find A:B.",5:7,7:5,7:10,10:7,B
Ratios,Medium,"If 5A = 7B, find A:B.",10:7,7:10,5:7,7:5,
Percentages,Medium,What percent of 500 is 125?,20%,25%,30%,35%,B
Percentages,Medium,What percent of 355 is 135?,20%,25%,30%,35%,B
Percentages,Medium,What percent of 500 is 125?,30%,35%,20%,25%,
Percentages,Medium,"If 80 is increased by 25%, find the new number.",90,95,100,105,D
Percentages,Medium,"If 103 is increased by 29%, find the new number.",90,95,100,105,D
Percentages,Medium,"If 80 is increased by 25%, find the new number.",95,90,100,105,
Percentages,Easy,Find 75% of 160.,110,115,120,125,C
Percentages,Easy,Find 55% of 176.,110,115,120,125,C
Percentages,Easy,Find 75% of 160.,125,110,115,120,
Verbal Reasoning,Hard,Choose the word that fits this analogy: Hot is to Cold as Day is to ___,Night,Bright,Dawn,Evening,A
Verbal Reasoning,Hard,Choose the word that fits this analogy: Hot is to Cold as Day is to ___,Night,Bright,Dawn,Evening,
Verbal Reasoning,Easy,"Find the odd one out: Square, Rectangle, Circle, Triangle",Circle,Square,Rectangle,Triangle,A
Verbal Reasoning,Easy,"Find the odd one out: Square, Rectangle, Circle, Triangle",Circle,Rectangle,Square,Triangle,
Ratios,Easy,Simplify 12:18.,2:3,3:2,4:5,5:4,A
Ratios,Easy,Simplify 10:18.,2:3,3:2,4:5,5:4,A
Ratios,Easy,Simplify 12:18.,5:4,2:3,4:5,3:2,
Probability,Easy,"If you flip a coin, what is the probability of getting heads?",1/2,1/3,1/4,1/5,A
Probability,Easy,"If you flip a coin, what is the probability of getting heads?",1/2,1/5,1/4,1/3,
Probability,Easy,What is the probability of drawing a red card from a deck of cards?,1/2,1/3,1/4,1/5,A
Probability,Easy,What is the probability of drawing a red card from a deck of cards?,1/3,1/2,1/4,1/5,
Percentages,Hard,"If the cost price is 600 and the selling price is 660, find the profit percent.",8%,9%,10%,11%,C
Percentages,Hard,"If the cost price is 544 and the selling price is 547, find the profit percent.",8%,9%,10%,11%,C
Percentages,Hard,"If the cost price is 600 and the selling price is 660, find the profit percent.",11%,9%,8%,10%,
Percentages,Easy,"If 50% of a number is 75, find the number.",130,140,150,160,C
Percentages,Easy,"If 57% of a number is 80, find the number.",130,140,150,160,C
Percentages,Easy,"If 50% of a number is 75, find the number.",160,130,140,150,
Percentages,Medium,What is 40% of 250?,80,90,100,110,B
Percentages,Medium,What is 45% of 311?,80,90,100,110,B
Percentages,Medium,What is 40% of 250?,110,100,90,80,
Percentages,Hard,An article costing 400 is sold at a gain of 15%. Find the selling price.,450,460,470,480,B
Percentages,Hard,An article costing 363 is sold at a gain of 13%. Find the selling price.,450,460,470,480,B
Percentages,Hard,An article costing 400 is sold at a gain of 15%. Find the selling price.,450,480,470,460,
Number Series,Medium,"What comes next in the series: 1, 1, 2, 6, 24, ...?",120,125,130,135,A
Number Series,Medium,"What comes next in the series: 1, 1, 1, 7, 27, ...?",120,125,130,135,A
Number Series,Medium,"What comes next in the series: 1, 1, 2, 6, 24, ...?",125,120,130,135,
Ratios,Easy,Simplify the ratio 18:24.,2:3,3:4,4:5,5:6,B
Ratios,Easy,Simplify the ratio 22:20.,2:3,3:4,4:5,5:6,B
Ratios,Easy,Simplify the ratio 18:24.,4:5,5:6,3:4,2:3,
Percentages,Medium,"If 60 is 30% of x, find x.",180,200,210,220,A
Percentages,Medium,"If 43 is 30% of x, find x.",180,200,210,220,A
Percentages,Medium,"If 60 is 30% of x, find x.",180,210,200,220,
Verbal Reasoning,Medium,Choose the correct antonym for 'Generous'.,Selfish,Kind,Wealthy,Friendly,A
