topic,difficulty,question,option_a,option_b,option_c,option_d,answer
probability,easy,What is 25% of 200?,25,50,75,100,B
probability,easy,What is 25% of 200?,25,50,75,100,B
probability,easy,What is 25% of 200?,25,50,75,100,B
probability,easy,What is 25% of 200?,25,50,75,100,B
probability,easy,What is 25% of 200?,25,50,75,100,B
probability,medium,What is 25% of 200?,25,50,75,100,B
probability,medium,What is 25% of 200?,25,50,75,100,B
probability,medium,What is 25% of 200?,25,50,75,100,B
probability,medium,What is 25% of 200?,25,50,75,100,B
probability,medium,What is 25% of 200?,25,50,75,100,B
probability,hard,What is 25% of 200?,25,50,75,100,B
probability,hard,What is 25% of 200?,25,50,75,100,B
probability,hard,What is 25% of 200?,25,50,75,100,B
probability,hard,What is 25% of 200?,25,50,75,100,B
probability,hard,What is 25% of 200?,25,50,75,100,B
percentages,easy,What is 25% of 200?,25,50,75,100,B
percentages,easy,What is 25% of 200?,25,50,75,100,B
percentages,easy,What is 25% of 200?,25,50,75,100,B
percentages,easy,What is 25% of 200?,25,50,75,100,B
percentages,easy,What is 25% of 200?,25,50,75,100,B
percentages,medium,What is 25% of 200?,25,50,75,100,B
percentages,medium,What is 25% of 200?,25,50,75,100,B
percentages,medium,What is 25% of 200?,25,50,75,100,B
percentages,medium,What is 25% of 200?,25,50,75,100,B
percentages,medium,What is 25% of 200?,25,50,75,100,B
percentages,hard,What is 25% of 200?,25,50,75,100,B
percentages,hard,What is 25% of 200?,25,50,75,100,B
percentages,hard,What is 25% of 200?,25,50,75,100,B
percentages,hard,What is 25% of 200?,25,50,75,100,B
percentages,hard,What is 25% of 200?,25,50,75,100,B
number series,easy,What is 25% of 200?,25,50,75,100,B
number series,easy,What is 25% of 200?,25,50,75,100,B
number series,easy,What is 25% of 200?,25,50,75,100,B
number series,easy,What is 25% of 200?,25,50,75,100,B
number series,easy,What is 25% of 200?,25,50,75,100,B
number series,medium,What is 25% of 200?,25,50,75,100,B
number series,medium,What is 25% of 200?,25,50,75,100,B
number series,medium,What is 25% of 200?,25,50,75,100,B
number series,medium,What is 25% of 200?,25,50,75,100,B
number series,medium,What is 25% of 200?,25,50,75,100,B
number series,hard,What is 25% of 200?,25,50,75,100,B
number series,hard,What is 25% of 200?,25,50,75,100,B
number series,hard,What is 25% of 200?,25,50,75,100,B
number series,hard,What is 25% of 200?,25,50,75,100,B
number series,hard,What is 25% of 200?,25,50,75,100,B
ratios,easy,What is 25% of 200?,25,50,75,100,B
ratios,easy,What is 25% of 200?,25,50,75,100,B
ratios,easy,What is 25% of 200?,25,50,75,100,B
ratios,easy,What is 25% of 200?,25,50,75,100,B
ratios,easy,What is 25% of 200?,25,50,75,100,B
ratios,medium,What is 25% of 200?,25,50,75,100,B
ratios,medium,What is 25% of 200?,25,50,75,100,B
ratios,medium,What is 25% of 200?,25,50,75,100,B
ratios,medium,What is 25% of 200?,25,50,75,100,B
ratios,medium,What is 25% of 200?,25,50,75,100,B
ratios,hard,What is 25% of 200?,25,50,75,100,B
ratios,hard,What is 25% of 200?,25,50,75,100,B
ratios,hard,What is 25% of 200?,25,50,75,100,B
ratios,hard,What is 25% of 200?,25,50,75,100,B
ratios,hard,What is 25% of 200?,25,50,75,100,B
verbal reasoning,easy,What is 25% of 200?,25,50,75,100,B
verbal reasoning,easy,What is 25% of 200?,25,50,75,100,B
verbal reasoning,easy,What is 25% of 200?,25,50,75,100,B
verbal reasoning,easy,What is 25% of 200?,25,50,75,100,B
verbal reasoning,easy,What is 25% of 200?,25,50,75,100,B
verbal reasoning,medium,What is 25% of 200?,25,50,75,100,B
verbal reasoning,medium,What is 25% of 200?,25,50,75,100,B
verbal reasoning,medium,What is 25% of 200?,25,50,75,100,B
verbal reasoning,medium,What is 25% of 200?,25,50,75,100,B
verbal reasoning,medium,What is 25% of 200?,25,50,75,100,B
verbal reasoning,hard,What is 25% of 200?,25,50,75,100,B
verbal reasoning,hard,What is 25% of 200?,25,50,75,100,B
verbal reasoning,hard,What is 25% of 200?,25,50,75,100,B
verbal reasoning,hard,What is 25% of 200?,25,50,75,100,B
verbal reasoning,hard,What is 25% of 200?,25,50,75,100,B
